,video,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,MOS,content,resolution,bitrate,bitrate_mu,AQ,is_AQ_test,level,reference,sureal,MOS_y,sureal_y,aDMOS,sureal_DMOS
10,BTFB-01h12m33s_res2160_mu1000_sigma100_rate984_aqOn.yuv,36,26,34,37,19.0,26,25,8,34,42,74,51.0,49,42,38,20,33,54,3,34,12,39,36,80,43,34,33,39,41,43,24,44,25,61,90,27,22,16,32,35,51.0,37,35,36.83720930232558,BTFB-01h12m33s,2160p,984,1000,On,True,2160p_1000,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,37.262893311912045,78.0952380952381,76.55510058640833,41.25802879291252,39.292207274496285
11,BTFB-01h12m33s_res1080_mu1200_sigma100_rate1213_aqOff.yuv,77,73,41,54,,54,25,85,72,74,82,69.0,80,53,34,50,42,72,49,71,36,65,66,47,54,69,75,63,48,32,50,64,67,81,95,54,63,48,75,81,74.0,84,80,62.57142857142857,BTFB-01h12m33s,1080p,1213,1200,Off,True,1080p_1200,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,62.0901023742149,78.0952380952381,76.55510058640833,15.523809523809533,14.464998212193429
12,BTFB-01h12m33s_res1080_mu500_sigma100_rate541_aqOn.yuv,61,39,24,42,25.0,21,36,60,63,37,72,53.0,75,40,31,33,6,47,32,56,41,35,32,63,57,44,29,44,39,28,29,57,35,46,38,32,25,26,27,35,37.0,54,61,41.093023255813954,BTFB-01h12m33s,1080p,541,500,On,True,1080p_500,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,41.33587673514482,78.0952380952381,76.55510058640833,37.00221483942415,35.21922385126351
13,HZLN_res600_mu800_sigma200_rate667_aqOn.yuv,37,55,50,52,26.0,63,37,66,41,43,54,49.0,55,43,5,29,22,24,49,61,31,35,44,43,35,37,49,41,52,46,43,27,38,63,71,67,58,38,64,42,42.0,71,73,45.83720930232558,HZLN,600p,667,800,On,False,600p_800,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,44.939237824594784,63.95348837209303,64.22232912618014,18.116279069767444,19.28309130158536
14,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,73,49,52,66,37.0,88,42,82,76,72,91,74.0,71,64,37,55,79,82,17,52,48,30,52,50,56,71,72,60,70,49,54,83,93,79,47,61,63,49,71,88,91.0,80,74,63.95348837209303,HZLN,2160p,100000,100000,On,False,2160p_100000,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,64.22232912618014,63.95348837209303,64.22232912618014,0.0,0.0
15,HZLN_res2160_mu3000_sigma300_rate3623_aqOn.yuv,59,96,62,58,43.0,74,73,36,81,71,81,,73,63,74,50,63,76,68,57,49,48,40,88,49,82,51,93,58,83,61,65,66,78,68,60,58,75,65,97,63.0,99,82,67.52380952380952,HZLN,2160p,3623,3000,On,False,2160p_3000,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,67.12200742906353,63.95348837209303,64.22232912618014,-3.5703211517164917,-2.8996783028833875
16,HZLN_res1080_mu1200_sigma100_rate1339_aqOn.yuv,70,60,62,65,52.0,60,55,81,56,72,90,81.0,76,35,42,60,50,67,25,48,38,37,61,86,42,72,54,54,59,54,49,43,63,86,50,55,63,55,67,69,51.0,79,78,59.81395348837209,HZLN,1080p,1339,1200,On,False,1080p_1200,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,58.28680444022546,63.95348837209303,64.22232912618014,4.139534883720934,5.935524685954682
17,HZLN_res1080_mu500_sigma100_rate391_aqOn.yuv,50,5,19,27,,19,19,10,23,64,23,13.0,32,13,22,18,17,22,22,54,17,3,50,2,38,26,19,21,9,1,10,12,35,25,4,63,24,7,8,8,2.0,5,11,20.761904761904763,HZLN,1080p,391,500,On,False,1080p_500,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,20.415203896210727,63.95348837209303,64.22232912618014,43.19158361018826,43.807125229969415
18,HZLN_res720_mu1500_sigma300_rate1481_aqOn.yuv,75,65,56,69,,61,37,57,64,71,76,49.0,72,54,46,49,74,77,53,49,35,49,47,69,55,91,69,66,50,33,49,60,56,64,71,66,51,68,35,75,43.0,93,69,59.95238095238095,HZLN,720p,1481,1500,On,False,720p_1500,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,59.05777907981001,63.95348837209303,64.22232912618014,4.001107419712078,5.164550046370131
19,HZLN_res2160_mu11200_sigma300_rate11150_aqOn.yuv,70,78,63,60,,61,62,49,63,56,70,83.0,76,62,56,47,83,61,77,61,76,56,39,67,60,72,76,56,60,39,62,80,85,84,75,59,57,93,70,73,71.0,100,86,67.47619047619048,HZLN,2160p,11150,11200,On,False,2160p_11200,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,66.45363051417196,63.95348837209303,64.22232912618014,-3.522702104097455,-2.23130138799182
20,HZLN_res1080_mu5400_sigma300_rate5291_aqOn.yuv,79,62,62,75,47.0,79,32,84,57,64,69,61.0,73,51,55,58,65,53,33,49,45,33,28,97,38,69,54,62,74,81,60,73,57,69,38,61,72,74,66,82,56.0,82,76,61.74418604651163,HZLN,1080p,5291,5400,On,False,1080p_5400,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,60.86556385021955,63.95348837209303,64.22232912618014,2.2093023255813975,3.3567652759605906
21,HZLN_res2160_mu1000_sigma100_rate1047_aqOn.yuv,77,35,35,53,,27,5,83,37,63,75,30.0,62,56,37,42,37,41,25,41,27,26,35,64,42,48,63,43,44,26,32,42,48,63,60,62,46,30,44,48,47.0,70,62,46.023809523809526,HZLN,2160p,1047,1000,On,False,2160p_1000,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,44.566341519071536,63.95348837209303,64.22232912618014,17.9296788482835,19.655987607108607
22,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,70,74,41,64,84.0,80,42,86,69,72,72,74.0,82,72,39,44,72,90,72,80,97,64,75,54,55,33,77,53,58,48,63,77,93,83,87,50,74,82,70,67,49.0,60,77,68.02325581395348,Wot,2160p,100000,100000,On,False,2160p_100000,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,66.79835642134712,68.02325581395348,66.79835642134712,0.0,0.0
23,Wot_res1080_mu1200_sigma100_rate1082_aqOn.yuv,51,37,23,53,26.0,51,32,53,39,69,89,45.0,81,33,24,25,28,44,53,56,26,27,77,69,36,35,75,46,56,73,43,30,15,52,47,67,76,56,43,91,50.0,83,32,49.23255813953488,Wot,1080p,1082,1200,On,False,1080p_1200,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,48.39999550226325,68.02325581395348,66.79835642134712,18.790697674418603,18.39836091908387
24,Wot_res2160_mu1000_sigma100_rate1054_aqOn.yuv,52,36,25,46,,24,23,52,56,68,59,,52,36,22,16,34,60,37,44,14,49,34,39,35,38,32,66,51,43,25,15,40,72,20,34,28,56,63,42,47.0,79,39,41.53658536585366,Wot,2160p,1054,1000,On,False,2160p_1000,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,41.49987160111817,68.02325581395348,66.79835642134712,26.486670448099822,25.29848482022895
25,Wot_res1080_mu5400_sigma300_rate5456_aqOn.yuv,88,91,71,71,,69,61,50,54,78,63,72.0,81,65,29,60,55,77,86,76,94,56,41,100,63,79,76,70,76,55,72,58,59,75,60,59,77,72,85,78,79.0,70,81,69.80952380952381,Wot,1080p,5456,5400,On,False,1080p_5400,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,69.45789858666338,68.02325581395348,66.79835642134712,-1.7862679955703271,-2.659542165316253
26,Wot_res1080_mu500_sigma100_rate514_aqOn.yuv,70,38,18,57,,22,30,70,65,57,70,37.0,61,34,25,17,40,44,28,43,25,42,38,52,36,54,35,44,41,34,32,11,31,40,57,36,77,43,38,66,55.0,60,78,44.07142857142857,Wot,1080p,514,500,On,False,1080p_500,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,42.752848538398766,68.02325581395348,66.79835642134712,23.951827242524914,24.045507882948357
27,Wot_res720_mu1500_sigma300_rate1136_aqOn.yuv,70,72,32,58,70.0,44,33,41,66,76,72,62.0,66,43,38,48,58,73,50,51,49,37,39,75,57,48,49,49,62,46,43,33,52,62,47,43,49,64,53,85,58.0,58,62,54.48837209302326,Wot,720p,1136,1500,On,False,720p_1500,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,54.12200004925539,68.02325581395348,66.79835642134712,13.534883720930225,12.676356372091732
28,Wot_res600_mu800_sigma200_rate956_aqOn.yuv,55,36,41,56,61.0,63,28,52,53,72,81,63.0,60,44,32,28,44,50,48,64,44,30,52,75,54,61,29,67,50,16,39,62,56,87,45,44,52,50,56,60,48.0,83,23,51.48837209302326,Wot,600p,956,800,On,False,600p_800,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,51.16525856241415,68.02325581395348,66.79835642134712,16.534883720930225,15.63309785893297
29,Wot_res2160_mu11200_sigma300_rate11338_aqOn.yuv,84,75,45,62,,86,58,68,61,82,96,59.0,76,54,48,71,64,84,71,85,94,57,47,87,63,90,81,81,62,90,64,62,87,78,93,62,76,81,75,96,87.0,93,79,74.14285714285714,Wot,2160p,11338,11200,On,False,2160p_11200,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72.4772928250969,68.02325581395348,66.79835642134712,-6.119601328903656,-5.678936403749773
30,Wot_res2160_mu3000_sigma300_rate2892_aqOn.yuv,77,49,57,67,63.0,66,56,45,66,77,72,68.0,90,49,42,60,71,71,66,65,49,46,59,79,56,73,72,77,65,79,69,53,61,69,64,67,67,60,61,97,63.0,83,81,65.74418604651163,Wot,2160p,2892,3000,On,False,2160p_3000,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv,66.10039718831605,68.02325581395348,66.79835642134712,2.279069767441854,0.6979592330310709
31,JKRY-108_res2160_mu1000_sigma100_rate842_aqOn.yuv,70,25,4,20,6.0,31,11,63,35,15,44,36.0,32,23,1,10,3,17,1,36,15,4,39,1,18,33,23,20,24,1,8,18,7,31,12,22,6,3,2,13,20.0,14,4,19.093023255813954,JKRY-108,2160p,842,1000,On,False,2160p_1000,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,19.540823414787997,72.66666666666667,71.83131418407694,53.57364341085272,52.29049076928895
32,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,72,74,77,46,,65,49,89,84,80,79,82.0,73,62,81,61,96,98,58,49,80,72,58,71,77,66,89,75,67,38,54,79,92,88,89,43,75,57,95,90,72.0,65,85,72.66666666666667,JKRY-108,2160p,100000,100000,On,False,2160p_100000,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,71.83131418407694,72.66666666666667,71.83131418407694,0.0,0.0
33,JKRY-108_res1080_mu1200_sigma100_rate1052_aqOn.yuv,50,38,21,51,43.0,44,27,27,50,59,83,54.0,57,64,37,57,26,28,24,33,38,30,41,42,38,54,50,45,43,30,30,39,57,51,63,20,35,39,42,63,51.0,73,20,43.41860465116279,JKRY-108,1080p,1052,1200,On,False,1080p_1200,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,44.362834678448834,72.66666666666667,71.83131418407694,29.248062015503884,27.46847950562811
34,JKRY-108_res2160_mu11200_sigma300_rate11252_aqOn.yuv,50,53,68,69,,80,55,93,78,76,87,68.0,82,48,47,54,66,94,77,61,81,74,56,74,67,76,83,70,76,68,44,69,90,92,90,65,73,95,98,83,86.0,90,84,73.57142857142857,JKRY-108,2160p,11252,11200,On,False,2160p_11200,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,71.74035741769875,72.66666666666667,71.83131418407694,-0.904761904761898,0.0909567663781985
35,JKRY-108_res720_mu1500_sigma300_rate1374_aqOn.yuv,69,48,43,55,,45,32,45,72,83,65,68.0,76,43,36,42,42,78,61,61,56,30,40,65,54,66,79,49,49,50,48,55,68,62,64,47,61,40,87,80,69.0,90,40,57.45238095238095,JKRY-108,720p,1374,1500,On,False,720p_1500,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,56.86217996790847,72.66666666666667,71.83131418407694,15.214285714285722,14.969134216168477
36,JKRY-108_res1080_mu500_sigma100_rate588_aqOn.yuv,50,7,27,29,,20,12,25,48,23,34,35.0,42,33,3,20,17,15,32,14,36,6,24,14,23,43,29,23,32,2,19,18,29,28,16,25,8,7,19,26,28.0,16,1,22.80952380952381,JKRY-108,1080p,588,500,On,False,1080p_500,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,24.181067705698787,72.66666666666667,71.83131418407694,49.85714285714286,47.65024647837816
37,JKRY-108_res600_mu800_sigma200_rate1036_aqOn.yuv,50,26,42,43,35.0,44,17,20,68,68,66,73.0,59,61,35,40,41,37,15,56,39,26,37,8,60,65,48,55,32,23,57,36,56,49,59,38,55,27,66,64,39.0,43,27,44.30232558139535,JKRY-108,600p,1036,800,On,False,600p_800,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,46.93113243585725,72.66666666666667,71.83131418407694,28.36434108527132,24.900181748219694
38,JKRY-108_res1080_mu5400_sigma300_rate5128_aqOn.yuv,81,83,74,63,,68,42,77,72,64,89,66.0,86,50,43,75,70,95,74,62,74,78,68,67,65,84,73,85,68,86,64,63,82,93,91,62,73,82,80,93,74.0,87,84,74.04761904761905,JKRY-108,1080p,5128,5400,On,False,1080p_5400,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,73.27901825218629,72.66666666666667,71.83131418407694,-1.3809523809523796,-1.4477040681093456
39,JKRY-108_res2160_mu3000_sigma300_rate2538_aqOn.yuv,74,41,19,69,,36,40,33,60,57,66,48.0,75,48,60,28,49,81,49,49,38,44,35,62,59,51,52,48,51,48,44,44,75,78,68,58,45,44,63,53,49.0,34,65,52.142857142857146,JKRY-108,2160p,2538,3000,On,False,2160p_3000,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv,51.71185960062653,72.66666666666667,71.83131418407694,20.523809523809526,20.119454583450413
40,THBY-103_res2160_mu11200_sigma300_rate11198_aqOn.yuv,82,98,65,68,,95,89,34,76,75,90,,91,74,97,60,67,91,94,79,61,87,77,78,73,75,91,80,80,69,76,84,90,90,90,55,77,68,87,100,,100,85,79.95,THBY-103,2160p,11198,11200,On,False,2160p_11200,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,79.98210914590652,78.14285714285714,78.38050762580393,-1.807142857142864,-1.6016015201025908
41,THBY-103_res1080_mu500_sigma100_rate564_aqOn.yuv,49,26,23,58,18.0,45,43,45,40,32,64,56.0,65,46,35,48,21,46,25,31,36,32,22,26,42,38,32,27,45,37,32,44,37,64,28,27,11,27,39,49,32.0,20,73,38.04651162790697,THBY-103,1080p,564,500,On,False,1080p_500,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,38.78312946373998,78.14285714285714,78.38050762580393,40.096345514950166,39.59737816206395
42,THBY-103_res2160_mu1000_sigma100_rate922_aqOn.yuv,49,25,19,39,,17,5,33,35,37,20,46.0,52,37,5,25,21,26,1,31,28,26,11,37,33,20,24,26,27,9,24,17,29,47,37,26,8,12,18,43,26.0,32,8,25.976190476190474,THBY-103,2160p,922,1000,On,False,2160p_1000,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,27.42782428309242,78.14285714285714,78.38050762580393,52.166666666666664,50.95268334271151
43,THBY-103_res600_mu800_sigma200_rate704_aqOn.yuv,58,61,39,71,25.0,27,40,61,47,70,83,58.0,66,52,30,50,29,55,29,31,25,43,59,46,44,47,33,37,38,34,35,43,36,48,62,35,54,18,82,52,43.0,81,58,47.325581395348834,THBY-103,600p,704,800,On,False,600p_800,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,46.31938258378739,78.14285714285714,78.38050762580393,30.817275747508305,32.06112504201654
44,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,85,98,56,80,87.0,87,69,39,66,72,82,80.0,86,69,94,80,89,88,78,70,83,83,50,62,60,92,91,86,75,57,79,63,92,85,100,66,74,69,84,96,,93,87,78.14285714285714,THBY-103,2160p,100000,100000,On,False,2160p_100000,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,78.38050762580393,78.14285714285714,78.38050762580393,0.0,0.0
45,THBY-103_res2160_mu3000_sigma300_rate3264_aqOn.yuv,87,71,46,68,,77,82,21,76,74,59,76.0,85,69,69,87,76,82,78,45,80,61,84,68,63,88,75,80,67,50,68,72,95,83,86,63,75,70,82,79,79.0,88,88,73.14285714285714,THBY-103,2160p,3264,3000,On,False,2160p_3000,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,73.38493732960076,78.14285714285714,78.38050762580393,5.0,4.995570296203169
46,THBY-103_res720_mu1500_sigma300_rate1281_aqOn.yuv,77,72,44,73,32.0,44,28,48,69,63,86,71.0,73,53,52,63,45,84,34,62,34,47,49,24,50,61,73,57,34,45,59,54,55,64,55,53,70,49,81,49,77.0,72,75,57.2093023255814,THBY-103,720p,1281,1500,On,False,720p_1500,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,57.69063986471268,78.14285714285714,78.38050762580393,20.93355481727574,20.68986776109125
47,THBY-103_res1080_mu1200_sigma100_rate1054_aqOn.yuv,79,43,32,50,24.0,38,26,47,35,49,79,52.0,69,35,31,35,17,53,37,59,28,45,56,48,40,62,41,43,35,31,36,59,31,63,40,14,59,46,52,63,41.0,83,78,46.13953488372093,THBY-103,1080p,1054,1200,On,False,1080p_1200,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,45.18167946806566,78.14285714285714,78.38050762580393,32.00332225913621,33.19882815773827
48,THBY-103_res1080_mu5400_sigma300_rate5135_aqOn.yuv,75,73,61,59,,82,81,54,78,76,75,,87,49,83,74,83,81,76,62,89,84,56,100,60,92,77,67,75,70,75,79,72,85,78,52,74,55,90,100,95.0,100,71,75.73170731707317,THBY-103,1080p,5135,5400,On,False,1080p_5400,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv,75.25975306311238,78.14285714285714,78.38050762580393,2.4111498257839656,3.1207545626915447
49,HERO-00h01m57s_res2160_mu3000_sigma300_rate3314_aqOn.yuv,83,73,30,80,67.0,65,53,73,70,76,76,73.0,92,57,54,71,87,97,80,78,92,68,64,74,62,79,82,76,65,57,53,77,78,87,89,50,75,81,62,83,61.0,38,41,70.44186046511628,HERO-00h01m57s,2160p,3314,3000,On,True,2160p_3000,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,70.6443063783938,78.42857142857143,77.58030879262112,7.9867109634551525,6.936002414227332
50,HERO-00h01m57s_res600_mu800_sigma50_rate780_aqOn.yuv,48,36,19,65,,46,50,16,53,63,84,52.0,53,38,25,25,21,49,46,40,27,24,29,68,53,54,35,37,25,40,11,47,62,74,24,28,55,20,38,40,36.0,37,35,41.142857142857146,HERO-00h01m57s,600p,780,800,On,True,600p_800,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,40.186922545423904,78.42857142857143,77.58030879262112,37.285714285714285,37.39338624719722
51,HERO-00h01m57s_res1080_mu500_sigma100_rate440_aqOn.yuv,27,38,41,19,,32,8,10,49,74,84,55.0,52,38,43,30,12,48,3,35,30,4,43,12,41,40,42,32,15,20,15,56,33,16,36,37,30,10,16,27,24.0,62,20,32.357142857142854,HERO-00h01m57s,1080p,440,500,On,True,1080p_500,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,32.29823646561507,78.42857142857143,77.58030879262112,46.07142857142858,45.282072327006055
52,HERO-00h01m57s_res2160_mu3000_sigma300_rate3314_aqOff.yuv,49,73,53,56,69.0,83,64,57,70,43,94,79.0,84,56,77,68,49,84,76,69,100,62,41,76,70,82,70,57,74,82,50,70,80,87,82,68,58,72,71,79,80.0,89,77,70.46511627906976,HERO-00h01m57s,2160p,3314,3000,Off,True,2160p_3000,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,69.25090478615259,78.42857142857143,77.58030879262112,7.963455149501669,8.329404006468536
53,HERO-00h01m57s_res2160_mu1000_sigma100_rate1020_aqOn.yuv,66,38,28,70,43.0,31,34,6,61,69,95,66.0,76,43,38,51,73,64,71,76,39,49,36,60,39,53,50,52,49,48,31,43,55,77,62,42,71,47,53,63,44.0,82,76,53.95348837209303,HERO-00h01m57s,2160p,1020,1000,On,True,2160p_1000,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,53.48478514903145,78.42857142857143,77.58030879262112,24.475083056478404,24.095523643589672
54,HERO-00h01m57s_res720_mu1500_sigma100_rate1426_aqOff.yuv,69,38,37,52,,61,23,32,73,71,84,67.0,40,50,44,65,44,72,38,49,49,49,44,77,66,56,36,53,71,46,49,57,61,23,68,58,73,44,64,68,50.0,39,63,54.11904761904762,HERO-00h01m57s,720p,1426,1500,Off,True,720p_1500,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,54.57182406341605,78.42857142857143,77.58030879262112,24.30952380952381,23.008484729205072
55,HERO-00h01m57s_res2160_mu11200_sigma300_rate11363_aqOn.yuv,79,90,19,74,74.0,86,71,43,81,76,85,75.0,95,49,95,80,85,98,90,78,100,81,69,84,75,76,80,80,73,92,72,84,81,80,93,68,83,62,64,100,63.0,98,69,77.90697674418605,HERO-00h01m57s,2160p,11363,11200,On,True,2160p_11200,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,77.44875563104611,78.42857142857143,77.58030879262112,0.5215946843853771,0.13155316157501318
56,HERO-00h01m57s_res1080_mu1200_sigma100_rate1171_aqOff.yuv,66,61,41,42,,52,39,21,56,64,92,60.0,80,34,27,40,70,77,24,48,22,42,47,53,51,41,52,56,35,39,21,45,41,59,58,49,79,27,43,34,50.0,67,69,49.38095238095238,HERO-00h01m57s,1080p,1171,1200,Off,True,1080p_1200,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,48.7068953795913,78.42857142857143,77.58030879262112,29.04761904761905,28.873413413029823
